path,legacy_urls,clicks,impressions,best_position,index_status,new_destination_301,revised_destination,decision_changed,priority,launch_bucket
/,http://www.zandzplumbing.com/ | https://zandzplumbing.com/,579,190016,9.74,INDEXED,/,/,False,P0,A1 · Homepage (canonicalize)
/plumbers-san-leandro-ca/,https://zandzplumbing.com/plumbers-san-leandro-ca/,42,41119,16.91,INDEXED,/plumber-san-leandro-ca/,/plumber-san-leandro-ca/,False,P0,A2 · Migrate (301 to new-site URL)
/contact/,https://zandzplumbing.com/contact/,18,11791,32.48,INDEXED,/contact/,/contact/,False,P0,A2 · Migrate (301 to new-site URL)
/plumbing-services/,https://zandzplumbing.com/plumbing-services/,11,42563,55.46,INDEXED,/services/,/services/,False,P0,A2 · Migrate (301 to new-site URL)
/category/plumber-blog/,https://zandzplumbing.com/category/plumber-blog/,9,11991,11.52,INDEXED,/blog/,/blog/,False,P1,B · Retire to /blog/
/about/,https://zandzplumbing.com/about/,6,12035,10.38,INDEXED,/about/,/about/,False,P1,A2 · Migrate (301 to new-site URL)
/plumbing-diy-tips-how-to-handle-common-household-plumbing-issues/,https://zandzplumbing.com/plumbing-diy-tips-how-to-handle-common-household-plumbing-issues/,3,2390,43.07,INDEXED,/blog/plumbing-diy-tips/,/blog/plumbing-diy-tips/,False,P1,A2 · Migrate (301 to new-site URL)
/top-7-reasons-why-regular-plumbing-maintenance-is-crucial/,https://zandzplumbing.com/top-7-reasons-why-regular-plumbing-maintenance-is-crucial/,3,1199,18.35,INDEXED,/blog/plumbing-maintenance/,/blog/plumbing-maintenance/,False,P1,A2 · Migrate (301 to new-site URL)
/plumbing-services/sewer-lateral-services/,https://zandzplumbing.com/plumbing-services/sewer-lateral-services/,3,1317,24.75,INDEXED,/sewer-lateral-services/,/sewer-lateral-services/,False,P1,A2 · Migrate (301 to new-site URL)
/whole-house-repiping-in-oakland-ca-what-to-expect-during-the-process/,https://zandzplumbing.com/whole-house-repiping-in-oakland-ca-what-to-expect-during-the-process/,3,578,22.02,INDEXED,/blog/whole-house-repipe-oakland/,/repipe-oakland/,False,P1,A2 · Migrate (301 to new-site URL)
/natural-gas-repairs-in-oakland-ca-what-every-homeowner-should-know-about-safety/,https://zandzplumbing.com/natural-gas-repairs-in-oakland-ca-what-every-homeowner-should-know-about-safety/,2,663,14.38,CRAWLED_NOT_INDEXED,/blog/natural-gas-repair-oakland/,/gas-line-oakland/,True,P1,A2 · Migrate (301 to new-site URL)
/plumbing-services/request-plumbing-services/,https://zandzplumbing.com/plumbing-services/request-plumbing-services/,2,1976,28.42,INDEXED,/contact/,/contact/,False,P1,A2 · Migrate (301 to new-site URL)
/plumbing-services/sewer-plumbing-services/,https://zandzplumbing.com/plumbing-services/sewer-plumbing-services/,2,12916,41.03,INDEXED,/sewer-services/,/sewer-services/,False,P1,A2 · Migrate (301 to new-site URL)
/plumbing-services/drain-cleaning/,https://zandzplumbing.com/plumbing-services/drain-cleaning/,2,2505,50.74,INDEXED,/drain-cleaning/,/drain-cleaning/,False,P1,A2 · Migrate (301 to new-site URL)
/privacy-policy-copy/,https://zandzplumbing.com/privacy-policy-copy/,1,518,11.01,INDEXED,/privacy-policy/,/privacy-policy/,False,P2,A2 · Migrate (301 to new-site URL)
/your-garbage-disposal/,https://zandzplumbing.com/your-garbage-disposal/,1,514,9.84,INDEXED,/blog/garbage-disposal/,/blog/garbage-disposal/,False,P2,A2 · Migrate (301 to new-site URL)
/water-heater-repair-and-installation/,https://zandzplumbing.com/water-heater-repair-and-installation/,1,2332,60.79,INDEXED,/water-heater-services/,/water-heater-services/,False,P2,A2 · Migrate (301 to new-site URL)
