path,clicks,impressions,revised_destination
/,579,190016,/
/plumbers-san-leandro-ca/,42,41119,/plumber-san-leandro-ca/
/contact/,18,11791,/contact/
/plumbing-services/,11,42563,/services/
/category/plumber-blog/,9,11991,/blog/
/about/,6,12035,/about/
/plumbing-diy-tips-how-to-handle-common-household-plumbing-issues/,3,2390,/blog/plumbing-diy-tips/
/top-7-reasons-why-regular-plumbing-maintenance-is-crucial/,3,1199,/blog/plumbing-maintenance/
/plumbing-services/sewer-lateral-services/,3,1317,/sewer-lateral-services/
/whole-house-repiping-in-oakland-ca-what-to-expect-during-the-process/,3,578,/repipe-oakland/
/plumbing-services/request-plumbing-services/,2,1976,/contact/
/plumbing-services/sewer-plumbing-services/,2,12916,/sewer-services/
/plumbing-services/drain-cleaning/,2,2505,/drain-cleaning/
/the-importance-of-regular-sewer-maintenance-protecting-your-homes-plumbing/,1,227,/blog/the-importance-of-regular-sewer-maintenance-protecting-your-homes-plumbing/
/plumbing-services/toilet-repair-replacement/,1,2900,/toilet-repair/
/water-leak-detection-in-oakland/,1,433,/leak-detection-oakland/
/plumbing-services/pipe-repair-installation/,1,1882,/pipe-repair/
/privacy-policy-copy/,1,518,/privacy-policy/
/your-garbage-disposal/,1,514,/blog/garbage-disposal/
/water-heater-repair-and-installation/,1,2332,/water-heater-services/
/category/plumber-blog/page/5/,0,8,/blog/
/3-ways-to-improve-your-sinks-flow-and-prevent-clogged-drains/,0,263,/blog/3-ways-to-improve-your-sinks-flow-and-prevent-clogged-drains/
/5-plumbing-tips-for-the-spring-from-your-local-plumber/,0,2,/blog/5-plumbing-tips-for-the-spring-from-your-local-plumber/
/5-most-common-causes-of-a-leaky-faucet/,0,5,/blog/5-most-common-causes-of-a-leaky-faucet/
/category/plumber-blog/page/3/,0,1,/blog/
/category/plumber-blog/page/4/,0,6,/blog/
/5-signs-your-sewer-needs-repair-dont-ignore-these-warning-signals/,0,4,/blog/5-signs-your-sewer-needs-repair-dont-ignore-these-warning-signals/
/here-is-a-fully-optimized-1000-word-blog-post-for/,0,730,/blog/
/hire-a-professional-plumber/,0,44,/blog/hire-a-professional-plumber/
/how-to-prevent-drain-clogs-expert-advice-from-z-and-z-plumbing/,0,11,/blog/how-to-prevent-drain-clogs-expert-advice-from-z-and-z-plumbing/
/how-to-save-money-on-your-water-bill-with-simple-plumbing-upgrades/,0,133,/blog/how-to-save-money-on-your-water-bill-with-simple-plumbing-upgrades/
/how-trenchless-sewer-replacement-saves-time-and-money-in-oakland-ca/,0,1854,/sewer-lateral-oakland/
/leak-detection-how-to-spot-and-address-plumbing-leaks-early/,0,900,/blog/leak-detection-how-to-spot-and-address-plumbing-leaks-early/
/5-signs-you-may-have-plumbing-leaks/,0,14,/blog/5-signs-you-may-have-plumbing-leaks/
/prevent-clogged-drains-5-household-items-that-should-never-go-down-the-drain/,0,95,/blog/prevent-clogged-drains-5-household-items-that-should-never-go-down-the-drain/
/5-signs-your-water-heater-needs-to-be-repaired-or-replaced/,0,4,/blog/5-signs-your-water-heater-needs-to-be-repaired-or-replaced/
/plumbing-services/faucet-installation-and-repair/,0,5905,/faucet-services/
/10-common-plumbing-problems-and-how-to-fix-them-a-comprehensive-guide/,0,3950,/blog/10-common-plumbing-problems-and-how-to-fix-them-a-comprehensive-guide/
/the-ultimate-guide-to-hiring-a-reliable-plumber-in-your-area/,0,231,/blog/the-ultimate-guide-to-hiring-a-reliable-plumber-in-your-area/
/understanding-the-basics-of-your-homes-plumbing-system/,0,65,/blog/understanding-the-basics-of-your-homes-plumbing-system/
/plumbing-services/financing/,0,11781,/financing/
/san-leandro-slab-leak-repair/,0,163,/slab-leak-san-leandro/
/privacy-policy/,0,17,/privacy-policy/
/top-10-common-plumbing-problems-and-how-to-prevent-them/,0,4,/blog/top-10-common-plumbing-problems-and-how-to-prevent-them/
/unclog-a-clogged-drain/,0,131,/blog/unclog-a-clogged-drain/
/plumbing-services/leak-detection/,0,2006,/leak-detection/
/plumbing-services/gas-line-services/,0,955,/gas-line-services/
/plumbing-services/garbage-disposal-repair/,0,6503,/garbage-disposal/
/plumbing-services/water-line-repairs/,0,2241,/water-line-repair/
/oakland-clogged-drain-repair/,0,5506,/drain-cleaning-oakland/
